measure,notes,id,acronym,full_name,domain,table_name,construct,concatenated,visits,type,child_specific,respondent_category,respondent,administration,admin_notes,remote,duration,qc,hbcd_mods,scoring,alert1_title,alert1,alert2_title,alert2,alert3_title,alert3,warning1_title,warning1,warning2_title,warning2,warning3_title,warning3,warning4_title,warning4,warning5_title,warning5,Column 29
Child Demographics,,demographics_ch,,Child Demographics,Social & Environmental Determinants,sed_bm_demo_child,Child Demographics,,"V04, V06",Parent Interview,Yes,Parent on Child,,,,,10 min,"Data dashboard was monitored for variable missingness, coding errors, and data consistency. High missingness was noted for income: this is in line with expectations.",,,,,,,,,,,,,,,,,,,
Composite Abuse Scale Revised - Short Form,,cabr_sf,CABr-SF,Composite Abuse Scale Revised - Short Form,Social & Environmental Determinants,sed_cg_cabr_sf,Intimate Partner Violence,,"V04, V06",Parent Survey,No,Parent on Child,Birth Parent or Primary Caregiver,Self-administered in person in a private setting,,in-person,2 min,"Scoring verification, data consistency checks, and checks for missingness.","Language was updated to use gender-neutral terminology in the definition of intimate partner in the methods section (e.g.,""Current or former husband, partner or boyfriend/girlfriend"" was replaced with ""spouse, partner, significant other""). Researcher should consider noting this in publications using this data.

“Don’t know” and “Decline to answer” were added as response options for HBCD.","The CABr-SF has 16 questions. Question 1 is a gateway (""Have you ever been in an intimate relationship?""). Questions 2–16 (15 items) are abuse experience items. The summary score is computed as the mean of the abuse experience responses (questions 2-16), multiplied by 15; summary scores are only calculated if participants responded to at least 11 of the 15 abuse experience items. Note that in the updated scoring procedures, ""Don’t Know"" and ""Decline to answer"" are regarded as missing or non-responses.",,,,,,,,"Users should not attempt to create their own summary scores when less than 11 items are answered. Please refer to <a href="""">Ford-Gilboe et al. 2016</a> for scoring guidance.",,,,,,,,,
"Confusion, Hubbub and Order Scale",,chaos,CHAOS,"Confusion, Hubbub and Order Scale",Behavior & Caregiver-Child Interactions,mh_cg_chaos,Family Organization,,"V05, V07",Parent Survey,Yes,Parent on Child,Primary Caregiver,,,remote,4-8 min,"Assess missingness (items completed per participant).
Verify scoring accuracy.
Review summary statistics (item frequencies, total scores).
Inspect response distributions for outliers.",,,,"The HBCD dataset includes many variables that may be important for sound and comprehensive analysis. The inclusion of additional variables will depend on the research question(s) and methodological approach. Users are encouraged to take time to explore the full range of available variables — especially those that may serve as controls, contextual indicators, confounders, mechanisms, or modifiers — to ensure thoughtful and well-supported analytic decisions. Other important considerations may include developmental functioning, broader family supports, and early adverse and protective exposures.",,,,,,,,,,,,,,,
Current Employment,,employment,,Current Employment,Social & Environmental Determinants,sed_cg_employ,Current Employment,,V05,Parent Survey,Yes,Parent on Self,Birth Parent or Primary Caregiver,Self-administered in-person or remotely,,either,5 min,Data were inspected for missing response and proportions.,,,,,,,,,,,,,,,,,,,
Demographics (Adult),,demographics,,Demographics (Adult),Social & Environmental Determinants,sed_bm_demo,Demographics (Birth Parent/Alternative Caregiver),,"V01, V04, V06",Parent Interview,No,Parent on Self,Birth Parent or Primary Caregiver,,,,10 min,"Data dashboard was monitored for variable missingness, coding errors, and data consistency. High missingness was noted for income: this is in line with expectations.",,,,,,,,,,,,,,,,,,,
DSM5 Severity Acute Stress or PTSD,,ptsd,PTSD/Acute Stress,National Stressful Events Survey- PTSD Short Scale/Acute Stress Disorder,"Pregnancy & Exposure, Including Substance Use",pex_bm_str__ptsd,PTSD/Acute Stress Disorder Symptom Severity,,"V01, V02, V03",Parent Survey,No,Parent on Self,Pregnant Participant/Birth Parent (as applicable) or Primary Caregiver,Self-administered in-person or remotely,,either,3 min,"Checks for missing data based on counts for items completed by each participant.
Verification of scoring accuracy.
Summary statistics to examine item-level frequencies and total scores.
Review of response distributions for potential outliers.","In the HBCD study, a ‘Decline to answer’ option was added to all items. A ‘Don’t know’ option was also available early in data collection, but was later removed.",,Consideration of Mental Health Symptoms Experienced During Pregnancy,"The co-occurrence of psychiatric symptoms and substance use during pregnancy is well-documented (<a href=""https://doi.org/10.1111/j.1521-0391.2010.00110.x"">Massey et al., 2011</a>, <a href=""https://doi.org/10.1016/j.addbeh.2012.04.002"">Massey et al., 2012</a>). Phenotypic risk in birthing parents may affect offspring neurodevelopment through both prenatal and postnatal mechanisms, beyond direct exposure alone (<a href=""https://doi.org/10.1007/s10519-015-9762-2"">Estabrook et al., 2016</a>, <a href=""https://doi.org/10.1016/j.ntt.2015.11.010"">Massey et al., 2016</a>, <a href=""https://doi.org/10.1016/j.ntt.2018.02.003"">Massey et al., 2018</a>). These factors may confound associations between exposures and neuroimaging or neurodevelopmental outcomes, but they also represent malleable targets for prevention and early intervention. When possible, incorporating parental mental health symptoms as covariates offers a robust strategy to account for these confounding influences.",,,,,,,,,,,,,,,
Early Regulation in Context Assessment,2 files,erica,ERICA,Early Regulation in Context Assessment,Behavior & Caregiver-Child Interactions,"mh_cg_erica_3_9m (Primary coding data file)
mh_cg_erica_rel_3_9m (Reliability codes)","Emotional Regulation, Parenting, Caregiver-Child Relationship",,V03,Parent Interview,Yes,Parent on Child,Birth Parent or Primary Caregiver,HBCD Study Staff,,in-person,20-30 min,"QC procedures were conducted for ERICA site-level administration and centralized coding of ERICA videos - <a href=""#qc"">expand infobox below for details →</a>",,,,"The HBCD dataset includes many variables that may be important for sound and comprehensive analysis. The inclusion of additional variables will depend on the research question(s) and methodological approach. Users are encouraged to take time to explore the full range of available variables—especially those that may serve as controls, contextual indicators, confounders, mechanisms, or modifiers—to ensure thoughtful and well-supported analytic decisions. Other important considerations may include developmental functioning, broader family supports, and early adverse and protective exposures.

The ERICA assesses variations in child behavior, parenting, and the caregiver-child relationship and should be interpreted within the context of the child's age and developmental stage. This is not a clinical or diagnostic instrument.",,,,,Integrated Analytic Dataset (REQUIRED),"Prior to analysis, you must create a final integrated analytic dataset by merging the reliability codes (<code>mh_cg_erica_rel_3_9m</code>) into the primary coding data (<code>mh_cg_erica_3_9m</code>). <b>Failure to integrate these data prior to analysis will result in incorrect results.</b> In future releases, this will not be necessary, as the integrated, analytic data set will be created prior to release.
See the <a href=""../ERICA_2.1_Integrated_Analytic_Data_INSTRUCTIONS.pdf"" target=""_blank"">Integration Instructions</a> PDF for details. Relevant participant lists can be downloaded from the <a href=""https://hbcd-docs-private.lassoinformatics.com"">HBCD Private Release Notes</a> (DUC access required), including <a href=""https://hbcd-docs-private.lassoinformatics.com/participant_lists/ERICA_2.1_DataError_EXCLUSIONS.csv""><code>ERICA_2.1_DataError_EXCLUSIONS.csv</code></a> and <a href=""https://hbcd-docs-private.lassoinformatics.com/participant_lists/ERICA_2.1_Analytic_REMOVALS.csv""><code>ERICA_2.1_Analytic_REMOVALS.csv</code></a>.",,"Data Release 2.1 includes data from ERICA administrations completed as part of HBCD study visit 3 (3–9 Month) as of July 1, 2025, utilizing the ERICA infant paradigm, which includes a prelocomotor (3–7 month) and locomotor protocol (7–9 month).",,Coded data for a subset of participants may be missing from this data release for various reasons. These data will be added in future releases.,,"The ERICA was administered in Spanish and English. The language of administration (i.e., language in which RAs delivered the instructions) does not always correspond with the language spoken by the caregiver/child during the activities. All videos in which the dyad speaks Spanish during the activities were coded by fully Spanish-English bilingual coders.",,"The code for ""caregiver irritable behavior"" in Data Release 2.1 has a low base rate because few caregivers exhibited elevated irritability. We recommend dichotomizing (0 = 0 and >0 = 1) for analysis.",
ecPROMIS - Physical Activity/Greenspace,,ecpromis_pags,,ecPROMIS - Physical Activity/Greenspace,Physical Health,ph_cg_pms__pags,Physical Activity,,"V04, V06",Parent Survey or Interview,Yes,Parent on Child,Birth Parent or Primary Caregiver,HBCD Study Staff or Self,,either,2 min,"Monitor data dashboard for variable missingness, possible coding errors, scoring verification when needed, and data consistency.",,"The first 5 items are used to create a Physical Activity T-score, and the remaining 2 items are individually scored using the response options. <i>Note that the item-level PA scores are currently on a 0 to 4 scale and need to be converted to 1 to 5 prior to calculating summary scores.</i>

<a href=""../images/PROMIS_Physical_Activity_Scoring_Manual_06.01.2023%5B95%5D.pdf"" target=""_blank"">PROMIS® Physical Activity Scoring Manual</a>:
<img src=""../images/PA-scoring.png"" alt=""Physical Activity Scoring"" width=""70%"" height=""auto"" class=""center"">",,,,,,,,,,,,,,,,,
ecPROMIS - Sleep,,ecpromis_sleep,ecPROMIS - Sleep,ecPROMIS - Parent Report Sleep Problems,Physical Health,ph_cg_pms__sleep,Sleep,,"V04, V06",Parent Survey,Yes,Parent on Child,Birth Parent or Primary Caregiver,HBCD Study Staff or Self,,either,1 min,"Monitor data dashboard for variable missingness, possible coding errors, scoring verification when needed, and data consistency.",,"The questions included in the HBCD protocol are the PROMIS Early Childhood Parent Report Sleep Problems - Short Form 8a. All questions must be answered in order to produce a valid score using the scoring tables provided. If a participant has skipped a question, use the <a href=""https://www.assessmentcenter.net/ac_scoringservice"">HealthMeasures Scoring Service</a> to generate a final score.

See additional/supplemental scoring document <a href=""https://drive.google.com/open?id=1ROIfz0CKm_kqa_CyrZDEMcKMnTqDXJe9"">here</a>.",,,,,,,,"Note that summary scores are currently absent from the release data and will be added in the future - see <a href=""../../../changelog/issues-updates/#pending-updates"" target=""_blank"">Pending Updates</a>.",,,,,,,,,
ecPROMIS Caregiver-Child Relationship Scale,MANUAL,ecpromis,,ecPROMIS Caregiver-Child Relationship Scale,Behavior & Caregiver-Child Interactions,mh_cg_pms__cc__inf / mh_cg_pms__cc__1to5,Relationships,,"Inf: V03, V05
1to5: V03, V05, V07",Parent Survey,Yes,Parent on Child,,,,remote,1-2 min,"Examine missingness by counting items answered per participant.
Check age is within expected ranges.
Review summary statistics and visualizations (item frequencies, age, prorated scores).",,,,"The HBCD dataset includes many variables that may be important for sound and comprehensive analysis. The inclusion of additional variables will depend on the research question(s) and methodological approach. Users are encouraged to take time to explore the full range of available variables — especially those that may serve as controls, contextual indicators, confounders, mechanisms, or modifiers — to ensure thoughtful and well-supported analytic decisions. Other important considerations may include developmental functioning, broader family supports, and early adverse and protective exposures.",,,,,Data Interpretation,The ecPROMIS assesses normative variations in child behavior and should be interpreted within the context of the child's age and developmental stage. This is not clinical or diagnostic instrument.,Administration at V05 (<1 year vs. 1–5 years),"At V05 (10–17 months), the standard administration is the child (1–5 years) version of the ecPROMIS Child–Caregiver Relationship Scale. A small subset of participants (N=11) were administered both the child and infant (<1 year) versions at this visit. Although data from both instruments are valid, we recommend using the 1–5 years version for V05 analyses to ensure consistency across participants, as most were administered only the 1–5 years version.",,,,,,,
ecPROMIS Peer Relationships Scale,,ecpromis_peer,ecPROMIS-Peer,ecPROMIS Peer Relationships Scale,Behavior & Caregiver-Child Interactions,med_cg_pms__peer,Peer Relationships,,"V05, V07, V09",Parent Survey,Yes,Parent on Child,Primary Caregiver,,,remote,1-2 min,"Examine missingness by counting items answered per participant.
Check age is within expected ranges.
Review summary statistics and visualizations (item frequencies, age, prorated scores).",,,,"The HBCD dataset includes many variables that may be important for sound and comprehensive analysis. The inclusion of additional variables will depend on the research question(s) and methodological approach. Users are encouraged to take time to explore the full range of available variables — especially those that may serve as controls, contextual indicators, confounders, mechanisms, or modifiers — to ensure thoughtful and well-supported analytic decisions. Other important considerations may include developmental functioning, broader family supports, and early adverse and protective exposures.",,,,,,,,,,,,,,,
ecPROMIS Self-Regulation - Flexibility Scale,,ecpromis_selfreg,,ecPROMIS Self-Regulation - Flexibility Scale,Behavior & Caregiver-Child Interactions,mh_cg_pms__selfreg,Self-Regulation and Flexibility,,"V05, V07, V09",Parent Survey,Yes,Parent on Child,Primary Caregiver,,,remote,1-2 min,"Examine missingness by counting items answered per participant.
Check age is within expected ranges.
Review summary statistics and visualizations (item frequencies, age, prorated scores).",,,,"The HBCD dataset includes many variables that may be important for sound and comprehensive analysis. The inclusion of additional variables will depend on the research question(s) and methodological approach. Users are encouraged to take time to explore the full range of available variables — especially those that may serve as controls, contextual indicators, confounders, mechanisms, or modifiers — to ensure thoughtful and well-supported analytic decisions. Other important considerations may include developmental functioning, broader family supports, and early adverse and protective exposures.",,,,,,,,,,,,,,,
Edinburgh Postnatal Depression Scale,,epds,EPDS,Edinburgh Postnatal Depression Scale,"Pregnancy & Exposure, Including Substance Use",pex_bm_epds,Postnatal Depression,,"V01, V02, V03",Parent Survey,No,Parent on Self,Pregnant Participant or Birth Parent (as applicable),Self-administered in-person or remotely,,either,3 min,"Checks for missing data based on counts for items completed by each participant.
Verification of scoring accuracy.
Summary statistics to examine item-level frequencies and total scores.
Review of response distributions for potential outliers.","In the HBCD study, a ‘Decline to answer’ option was added to all items. A ‘Don’t know’ option was also available early in data collection, but was subsequently removed. Questions answered with ‘Decline to answer’ or ‘Don’t know’ are marked as missing. In addition, scores for EPDS Self-Harm (score>1) and Depression (total score>11) triggered clinical alerts for study staff.","Items are scored on a 0→3 scale. Items 3, 5–10 are reverse-scored (i.e., 3→0): this is already reflected in the raw responses and no additional item-level scoring is required. Total scores are calculated as the sum of item responses. Scores are not prorated or set to missing for incomplete items; users should determine how to handle missing data.",,,,,,,,,,,,,,,,,
Experiences of Unfair Treatment,,discr,,Experiences of Unfair Treatment,Social & Environmental Determinants,sed_bm_phx__discr,Experiences of Unfair Treatment,,"V01, V05, V07",Parent Survey,No,Parent on Self,Birth Parent or Primary Caregiver,Self-administered remotely,,remote,3 min,"Data dashboard monitored for variable missingness, possible coding errors, and data consistency.",,,,,,,,,,,,,,,,,,,
Family Assessment Device,,fad,FAD (GF6+),Family Assessment Device (General Functioning),Behavior & Caregiver-Child Interactions,mh_cg_fad,Global Functioning of the Family Unit,,"V04, V06",Parent Interview or Survey,No,Parent on Child,Birth Parent or Primary Caregiver,,,either,2 min,"Item- and measure-level missingness were examined.
Check age is within expected ranges.
Scoring algorithm evaluated to ensure correct score calculations.
Review summary statistics and visualizations (item frequencies, scores distributions, prorated scoring).
Cronbach’s alpha calculated to assess inter-item reliability.",,,,"The HBCD dataset includes many variables that may be important for sound and comprehensive analysis. The inclusion of additional variables will depend on the research question(s) and methodological approach. Users are encouraged to take time to explore the full range of available variables — especially those that may serve as controls, contextual indicators, confounders, mechanisms, or modifiers — to ensure thoughtful and well-supported analytic decisions. Other important considerations may include developmental functioning, broader family supports, and early adverse and protective exposures.",,,,,,,,,,,,,,,
Geocoded Linked External Data,,gled,GLED,Geocoded Linked External Data- Residential Address History,Social & Environmental Determinants,,Neighborhood Measures,geocoding/,,Derived Data,Yes,,,,,,,"Verify that addresses from the address history form fall within the appropriate catchment area boundaries.
Assess address history completeness to ensure continuous coverage back to at least one year before the child's estimated due date (EDD).
Geocode addresses and verify successful geocoding to ensure accurate linkage.",,,,"As a condition of using these data, specified in the data use certification (DUC), you agreed not to identify any individual from whom data was obtained and not to identify their relatives.  To help maintain our participant’s anonymity, researchers should refrain from using geospatial information to identify actual geographic locations. To avoid identification, we have blurred the coded value to avoid any unique values that are shared by less than 10 individuals.",,,,,,"The geocoded variables were based on intersections between residential addresses reported by participants and geospatial databases built by environmental and neighborhood through publicly available geospatial database, including CDC and EPA. Therefore, the coded values represent estimates about potential exposures or experience given where the participants have spent their time. The accuracy of such estimates would be influenced by multiple factors, including the validity of the original geospatial databases. For detailed information about how original geospatial databases were built by publicly available geospatial databases, including CDC and EPA, please refer to the data dictionary where the link to the source data is provided.",,,,,,,,,
HOME-21 Infant-Toddler,,home21,HOME-21,Home Observation for Measurement of the Environment Infant-Toddler Version,Social & Environmental Determinants,sed_cg_home_it,Child’s Home Environment: Cognitive Stimulation and Emotional Support in the Home,,"V04, V06",Parent Interview or Survey,No,Parent on Child,Birth Parent or Primary Caregiver,,,either,10 min,Subject matter experts constructed an algorithm to verify and correct scores computed automatically.,"For HBCD, HOME-21 was adapted for more inclusive language (“sister or brother” changed to “sibling(s)”; “family members” changed to “another adult in your home”).","Individual items are re-scored as Yes (1)/No (0) and summed within two domains, Cognitive Stimulation (range 0-8) and Emotional Support (range 0-3), plus a total score (range 0-12). The tool is intended to be used in infants aged Birth - 2y 11m 30d. See the table below for details and <a href=""https://doi.org/10.1037/pas0001183"">Lansford et al. (2023)</a> for complete scoring procedure details.",,"The HBCD dataset includes many variables that may be important for sound and comprehensive analysis. The inclusion of additional variables will depend on the research question(s) and methodological approach. Users are encouraged to take time to explore the full range of available variables—especially those that may serve as controls, contextual indicators, confounders, mechanisms, or modifiers—to ensure thoughtful and well-supported analytic decisions. Other important considerations may include developmental functioning, broader family supports, and early adverse and protective exposures.",,,,,,,,,,,,,,,
